Name,Height
Sophie Aldred,5ft 2 ½ (159cm)
Ben Aldridge,6ft 1 (185cm)
Lily Aldridge,5ft 8 (173cm)
Kevin Alejandro,5ft 10 (178cm)
Frank Aletter,5ft 9 ½ (177cm)
 AleXa,4ft 10 ½ (149cm)
Flex Alexander,6ft 3 ½ (192cm)
Ian Alexander,5ft 0 (152cm)
Jaimie Alexander,5ft 8 ¼ (173cm)
Jane Alexander,5ft 7 ½ (171cm)
Jason Alexander,5ft 4 ½ (164cm)
Jessica Alexander,5ft 6 (168cm)
Kae Alexander,5ft 1 ¾ (157cm)
Keon Alexander,5ft 8 ½ (174cm)
Khandi Alexander,5ft 4 (163cm)
Nadia Alexander,5ft 0 (152cm)
Olly Alexander,5ft 8 ½ (174cm)
Pico Alexander,6ft 1 (185cm)
Sarah Alexander,5ft 3 ¾ (162cm)
Sasha Alexander,5ft 5 (165cm)
Terence Alexander,6ft 0 (183cm)
Trent Alexander-Arnold,5ft 10 ½ (179cm)
Ashley Alexiss,5ft 2 (157cm)
Ajiona Alexus,5ft 4 (163cm)
Gillian Alexy,5ft 1 ½ (156cm)
Kristian Alfonso,5ft 4 (163cm)
Niamh Algar,5ft 7 (170cm)
Arsher Ali,6ft 1 ¾ (187cm)
Jay Ali,5ft 11 ½ (182cm)
Mahershala Ali,6ft 1 ¾ (187cm)
Muhammad Ali,6ft 2 ½ (189cm)
Sophia Taylor Ali,5ft 7 (170cm)
Tatyana Ali,5ft 4 (163cm)
Ana Alicia,5ft 5 (165cm)
Bianca Allaine,5ft 9 ¾ (177cm)
Roger Allam,5ft 11 (180cm)
Freya Allan,5ft 3 ½ (161cm)
Keith Allan,6ft 2 (188cm)
Louise Allbritton,5ft 7 ½ (171cm)
Alfie Allen,5ft 7 (170cm)
Beth Allen,5ft 4 (163cm)
Brittany Allen,5ft 8 (173cm)
Chad Allen,5ft 6 ½ (169cm)
Christa B Allen,5ft 5 (165cm)
Crystal Allen,5ft 8 (173cm)
Debbie Allen,5ft 2 (157cm)
Fiona Allen,5ft 6 (168cm)
Gabby Allen,5ft 1 ½ (156cm)
Hoodie Allen,5ft 6 ½ (169cm)
Joan Allen,5ft 10 (178cm)
Karen Allen,5ft 5 (165cm)
Keith Allen,5ft 6 (168cm)
Kirsty Lee Allen,5ft 5 ¾ (167cm)
Kris Allen,5ft 5 ¾ (167cm)
Krista Allen,5ft 6 (168cm)
Kyle Allen,5ft 10 (178cm)
Laura Allen,5ft 4 ½ (164cm)
Lily Allen,5ft 2 (157cm)
Marcus Allen,6ft 1 &frac78; (188cm)
Nancy Allen,5ft 4 ¾ (164cm)
Peter Allen,5ft 10 (178cm)
Sandy Allen,7ft 7 ¼ (232cm)
Tim Allen,5ft 10 ½ (179cm)
Woody Allen,5ft 5 (165cm)
Zibby Allen,5ft 2 ½ (159cm)
Kirstie Alley,5ft 7 ½ (171cm)
Jade Alleyne,5ft 4 ¾ (164cm)
Dele Alli,6ft 2 (188cm)
Jamie Anne Allman,5ft 6 ¾ (170cm)
Marshall Allman,5ft 5 ¼ (166cm)
Andy Allo,5ft 3 ¾ (162cm)
Kirstie Allsopp,5ft 6 ½ (169cm)
June Allyson,5ft 0 (152cm)
Marc Almond,5ft 5 (165cm)
Daniella Alonso,5ft 5 ½ (166cm)
Laz Alonso,5ft 10 ¾ (180cm)
August Alsina,5ft 11 ½ (182cm)
Hanna Alström,5ft 7 ½ (171cm)
Carol Alt,5ft 10 ½ (179cm)
Emily Althaus,5ft 5 (165cm)
Summer Altice,5ft 10 (178cm)
Josef Altin,5ft 5 ¾ (167cm)
John Altman,5ft 11 (180cm)
Robert Altman,6ft 0 (183cm)
José Altuve,5ft 5 (165cm)
Sope Aluko,5ft 6 (168cm)
Trini Alvarado,5ft 5 (165cm)
Canelo Álvarez,5ft 7 ½ (171cm)
J Alvarez,5ft 7 (170cm)
Joe Alwyn,6ft 1 (185cm)
Natalie Alyn Lind,5ft 3 (160cm)
Djouliet Amara,5ft 1 ½ (156cm)
India Amarteifio,5ft 6 (168cm)
Dan Amboyer,6ft 2 (188cm)
Curtly Ambrose,6ft 7 (201cm)
Dean Ambrose,6ft  ¾ in (185cm)
Lauren Ambrose,5ft 5 (165cm)
Alessandra Ambrosio,5ft 8 ½ (174cm)
Utkarsh Ambudkar,5ft 9 ½ (177cm)
Don Ameche,5ft 10 ½ (179cm)
Aml Ameen,5ft 7 (170cm)
Austin Amelio,5ft 10 ¾ (180cm)
Robbie Amell,5ft 11 (180cm)
Stephen Amell,6ft  ¾ in (185cm)
Tony Amendola,5ft 10 (178cm)
Clara Amfo,5ft 3 (160cm)
Mädchen Amick,5ft 5 (165cm)
Carmel Amit,5ft 9 ¾ (177cm)
Sonia Ammar,5ft 6 ½ (169cm)
Charlene Amoia,5ft 5 (165cm)
John Amos,5ft 11 ½ (182cm)
Paul Amos,5ft 10 (178cm)
Tori Amos,5ft 2 (157cm)
Alice Amter,5ft 7 (170cm)
Nikki Amuka-Bird,5ft 6 ¾ (170cm)
Eva Amurri Martino,5ft 9 (175cm)
Susie Amy,5ft 7 (170cm)
Yoson An,5ft 11 ½ (182cm)
 Anahi,5ft 4 (163cm)
Kristina Anapau,5ft 3 (160cm)
 Anastacia,5ft 2 (157cm)
Elena Anaya,5ft 3 ½ (161cm)
Rachael Ancheril,5ft 4 (163cm)
Ronni Ancona,5ft 9 ½ (177cm)
Mini Anden,5ft 10 (178cm)
Andrea Anders,5ft 5 (165cm)
David Anders,5ft 11 ½ (182cm)
Alex Hogh Andersen,5ft 11 (180cm)
Amber Anderson,5ft 9 ½ (177cm)
Angry Anderson,5ft 1 ½ (156cm)
Anthony Anderson,5ft 9 (175cm)
Audrey Marie Anderson,5ft 6 (168cm)
Blake Anderson,5ft 10 (178cm)
Brett Anderson,6ft 0 (183cm)
Clive Anderson,5ft 9 ½ (177cm)
Daryl Anderson,6ft 4 (193cm)
Ella Anderson,5ft 2 (157cm)
Esther Anderson,5ft 7 (170cm)
Gillian Anderson,5ft 2 ¼ (158cm)
Hannah Anderson,5ft 6 ½ (169cm)
Harry Anderson,6ft 3 ½ (192cm)
Jacob Anderson,5ft 9 (175cm)
Jan Anderson,5ft 0 (152cm)
Joe Anderson,5ft 11 ¼ (181cm)
Jon Anderson,5ft 5 (165cm)
Kevin Anderson,6ft 7 (201cm)
Loni Anderson,5ft 6 (168cm)
Megan Anderson,5ft 11 (180cm)
Melissa Sue Anderson,5ft 3 (160cm)
Melody Anderson,5ft 6 (168cm)
Michael J Anderson,3ft 7 (109cm)
Natalie Anderson,5ft 4 (163cm)
Nicole Gale Anderson,5ft 2 (157cm)
Pamela Anderson,5ft 5 (165cm)
Paul Anderson,5ft 9 ½ (177cm)
Paul Thomas Anderson,5ft 10 ½ (179cm)
Richard Anderson,6ft 3 (191cm)
Richard Dean Anderson,6ft 1 ¾ (187cm)
Samuel Anderson,5ft 10 ¼ (178cm)
Shamier Anderson,6ft 1 ½ (187cm)
Tori Anderson,5ft 8 ½ (174cm)
Wes Anderson,6ft 1 (185cm)
Zima Anderson,4ft 11 ¾ (152cm)
Bibi Andersson,5ft 4 (163cm)
Sophie Anderton,5ft 9 (175cm)
Paola Andino,5ft 3 ½ (161cm)
Adjoa Andoh,5ft 4 (163cm)
Fernanda Andrade,5ft 4 ¾ (164cm)
Annette Andre,5ft 3 (160cm)
Eric Andre,6ft 0 (183cm)
Peter Andre,5ft 7 ¾ (172cm)
Ingrid Andress,5ft 6 (168cm)
Ursula Andress,5ft 5 (165cm)
Cooper Andrews,6ft 1 (185cm)
Dana Andrews,5ft 10 (178cm)
David Andrews,5ft 8 (173cm)
Dean Andrews,5ft 9 (175cm)
Erin Andrews,5ft 10 (178cm)
Janine Andrews,5ft 11 ½ (182cm)
Julie Andrews,5ft 7 (170cm)
Naveen Andrews,5ft 7 ½ (171cm)
Sebastien Andrieu,6ft 1 (185cm)
Michele Selene Ang,5ft 2 ½ (159cm)
Michelle Ang,5ft 3 (160cm)
Michael Angarano,5ft 6 (168cm)
